TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 540843638.0969 540843639.71742 540843641.33794 0.0 0.0 12332.351981640746 0.0 0.0 0.0
2.0 540843641.33794 540843642.95846 540843644.57898 0.0 0.0 12332.351981640746 0.0 0.0 0.0
3.0 540843644.57898 540843646.1995 540843647.82002 0.0 0.0 12332.351981640746 0.0 0.0 0.0
4.0 540843647.82002 540843649.44054 540843651.06106 0.0 0.0 12332.351981640746 0.0 0.0 0.0
5.0 540843651.06106 540843652.68158 540843654.3021 0.0 0.0 12332.351981640746 0.0 0.0 0.0
6.0 540843654.3021 540843655.9226199 540843657.5431399 0.0 0.0 12332.351981640746 0.0 0.0 0.0
7.0 540843657.5431399 540843659.1636599 540843660.7841799 0.0 0.0 12332.351981640746 0.0 0.0 0.0
8.0 540843660.78418 540843662.4047 540843664.02522 0.0 0.0 12332.351981640746 0.0 0.0 0.0
9.0 540843664.02522 540843665.64574 540843667.26626 0.0 0.0 12332.351981640746 0.0 0.0 0.0
10.0 540843667.26626 540843668.88678 540843670.5073 0.0 0.0 12332.351981640746 0.0 0.0 0.0
11.0 540843670.5073 540843672.12782 540843673.74834 0.0 0.0 12332.351981640746 0.0 0.0 0.0
12.0 540843673.74834 540843675.36886 540843676.98938 0.0 0.0 12332.351981640746 0.0 0.0 0.0
13.0 540843676.98938 540843678.6099 540843680.23042 0.0 0.0 12332.351981640746 0.0 0.0 0.0
14.0 540843680.23042 540843681.85094 540843683.47146 0.0 0.0 12332.351981640746 0.0 0.0 0.0
15.0 540843683.47146 540843685.09198 540843686.7125 0.0 0.0 12332.351981640746 0.0 0.0 0.0
16.0 540843686.7125 540843688.33302 540843689.95354 0.0 0.0 12332.351981640746 0.0 0.0 0.0
17.0 540843689.95354 540843691.57406 540843693.19458 0.0 0.0 12332.351981640746 0.0 0.0 0.0
18.0 540843693.19458 540843694.8151 540843696.43562 0.0 0.0 12332.351981640746 0.0 0.0 0.0
19.0 540843696.43562 540843698.05614 540843699.67666 0.0 0.0 12332.351981640746 0.0 0.0 0.0
20.0 540843699.67666 540843701.2971799 540843702.9176999 0.0 0.0 12332.351981640746 0.0 0.0 0.0
21.0 540843702.9176999 540843704.5382199 540843706.1587399 0.0 0.0 12332.351981640746 0.0 0.0 0.0
22.0 540843706.15874 540843707.77926 540843709.39978 0.0 0.0 12332.351981640746 0.0 0.0 0.0
23.0 540843709.39978 540843711.0203 540843712.64082 0.0 0.0 12332.351981640746 0.0 0.0 0.0
24.0 540843712.64082 540843714.26134 540843715.88186 0.0 0.0 12332.351981640746 0.0 0.0 0.0
25.0 540843715.88186 540843717.50238 540843719.1229 0.0 0.0 12332.351981640746 0.0 0.0 0.0
26.0 540843719.1229 540843720.74342 540843722.36394 0.0 0.0 12332.351981640746 0.0 0.0 0.0
27.0 540843722.36394 540843723.98446 540843725.60498 0.0 0.0 12332.351981640746 0.0 0.0 0.0
28.0 540843725.60498 540843727.2255 540843728.84602 0.0 0.0 12332.351981640746 0.0 0.0 0.0
29.0 540843728.84602 540843730.46654 540843732.08706 0.0 0.0 12332.351981640746 0.0 0.0 0.0
30.0 540843732.08706 540843733.70758 540843735.3281 0.0 0.0 12332.351981640746 0.0 0.0 0.0
31.0 540843735.3281 540843736.94862 540843738.56914 0.0 0.0 12332.351981640746 0.0 0.0 0.0
32.0 540843738.56914 540843740.18966 540843741.81018 0.0 0.0 12332.351981640746 0.0 0.0 0.0
33.0 540843741.81018 540843743.4307 540843745.0512199 0.0 0.0 12332.351981640746 0.0 0.0 0.0
34.0 540843745.0512199 540843746.6717399 540843748.2922599 0.0 0.0 12332.351981640746 0.0 0.0 0.0
35.0 540843748.2922599 540843749.9127799 540843751.5332999 0.0 0.0 12332.351981640746 0.0 0.0 0.0
36.0 540843751.5333 540843753.15382 540843754.77434 0.0 0.0 12332.351981640746 0.0 0.0 0.0
37.0 540843754.77434 540843756.39486 540843758.01538 0.0 0.0 12332.351981640746 0.0 0.0 0.0
38.0 540843758.01538 540843759.6359 540843761.25642 0.0 0.0 12332.351981640746 0.0 0.0 0.0
39.0 540843761.25642 540843762.87694 540843764.49746 0.0 0.0 12332.351981640746 0.0 0.0 0.0
40.0 540843764.49746 540843766.11798 540843767.7385 0.0 0.0 12332.351981640746 0.0 0.0 0.0
41.0 540843767.7385 540843769.35902 540843770.97954 0.0 0.0 12332.351981640746 0.0 0.0 0.0
42.0 540843770.97954 540843772.60006 540843774.22058 0.0 0.0 12332.351981640746 0.0 0.0 0.0
43.0 540843774.22058 540843775.8411 540843777.46162 0.0 0.0 12332.351981640746 0.0 0.0 0.0
44.0 540843777.46162 540843779.08214 540843780.70266 0.0 0.0 12332.351981640746 0.0 0.0 0.0
45.0 540843780.70266 540843782.32318 540843783.9437 0.0 0.0 12332.351981640746 0.0 0.0 0.0
46.0 540843783.9437 540843785.56422 540843787.18474 0.0 0.0 12332.351981640746 0.0 0.0 0.0
47.0 540843787.18474 540843788.80526 540843790.4257799 0.0 0.0 12332.351981640746 0.0 0.0 0.0
48.0 540843790.4257799 540843792.0462999 540843793.6668199 0.0 0.0 12332.351981640746 0.0 0.0 0.0
49.0 540843793.6668199 540843795.2873399 540843796.9078599 0.0 0.0 12332.351981640746 0.0 0.0 0.0
50.0 540843796.90786 540843798.52838 540843800.1489 0.0 0.0 12332.351981640746 0.0 0.0 0.0
51.0 540843800.1489 540843801.76942 540843803.38994 0.0 0.0 12332.351981640746 0.0 0.0 0.0
52.0 540843803.38994 540843805.01046 540843806.63098 0.0 0.0 12332.351981640746 0.0 0.0 0.0
53.0 540843806.63098 540843808.2515 540843809.87202 0.0 0.0 12332.351981640746 0.0 0.0 0.0
54.0 540843809.87202 540843811.49254 540843813.11306 0.0 0.0 12332.351981640746 0.0 0.0 0.0
55.0 540843813.11306 540843814.73358 540843816.3541 0.0 0.0 12332.351981640746 0.0 0.0 0.0
56.0 540843816.3541 540843817.97462 540843819.59514 0.0 0.0 12332.351981640746 0.0 0.0 0.0
57.0 540843819.59514 540843821.21566 540843822.83618 0.0 0.0 12332.351981640746 0.0 0.0 0.0
58.0 540843822.83618 540843824.4567 540843826.07722 0.0 0.0 12332.351981640746 0.0 0.0 0.0
59.0 540843826.07722 540843827.69774 540843829.31826 0.0 0.0 12332.351981640746 0.0 0.0 0.0
60.0 540843829.31826 540843830.93878 540843832.5593 0.0 0.0 12332.351981640746 0.0 0.0 0.0
61.0 540843832.5593 540843834.17982 540843835.8003399 0.0 0.0 12332.351981640746 0.0 0.0 0.0
62.0 540843835.8003399 540843837.4208599 540843839.0413799 0.0 0.0 12332.351981640746 0.0 0.0 0.0
63.0 540843839.0413799 540843840.6618999 540843842.2824199 0.0 0.0 12332.351981640746 0.0 0.0 0.0
64.0 540843842.28242 540843843.90294 540843845.52346 0.0 0.0 12332.351981640746 0.0 0.0 0.0
65.0 540843845.52346 540843847.14398 540843848.7645 0.0 0.0 12332.351981640746 0.0 0.0 0.0
66.0 540843848.7645 540843850.38502 540843852.00554 0.0 0.0 12332.351981640746 0.0 0.0 0.0
67.0 540843852.00554 540843853.62606 540843855.24658 0.0 0.0 12332.351981640746 0.0 0.0 0.0
68.0 540843855.24658 540843856.8671 540843858.48762 0.0 0.0 12332.351981640746 0.0 0.0 0.0
69.0 540843858.48762 540843860.10814 540843861.72866 0.0 0.0 12332.351981640746 0.0 0.0 0.0
70.0 540843861.72866 540843863.34918 540843864.9697 0.0 0.0 12332.351981640746 0.0 0.0 0.0
71.0 540843864.9697 540843866.59022 540843868.21074 0.0 0.0 12332.351981640746 0.0 0.0 0.0
72.0 540843868.21074 540843869.83126 540843871.45178 0.0 0.0 12332.351981640746 0.0 0.0 0.0
73.0 540843871.45178 540843873.0723 540843874.69282 0.0 0.0 12332.351981640746 0.0 0.0 0.0
74.0 540843874.69282 540843876.31334 540843877.93386 0.0 0.0 12332.351981640746 0.0 0.0 0.0
75.0 540843877.93386 540843879.5543799 540843881.1748999 0.0 0.0 12332.351981640746 0.0 0.0 0.0
76.0 540843881.1748999 540843882.7954199 540843884.4159399 0.0 0.0 12332.351981640746 0.0 0.0 0.0
77.0 540843884.4159399 540843886.0364599 540843887.6569799 0.0 0.0 12332.351981640746 0.0 0.0 0.0
78.0 540843887.65698 540843889.2775 540843890.89802 0.0 0.0 12332.351981640746 0.0 0.0 0.0
79.0 540843890.89802 540843892.51854 540843894.13906 0.0 0.0 12332.351981640746 0.0 0.0 0.0
80.0 540843894.13906 540843895.75958 540843897.3801 0.0 0.0 12332.351981640746 0.0 0.0 0.0
81.0 540843897.3801 540843899.00062 540843900.62114 0.0 0.0 12332.351981640746 0.0 0.0 0.0
82.0 540843900.62114 540843902.24166 540843903.86218 0.0 0.0 12332.351981640746 0.0 0.0 0.0
83.0 540843903.86218 540843905.4827 540843907.10322 0.0 0.0 12332.351981640746 0.0 0.0 0.0
84.0 540843907.10322 540843908.72374 540843910.34426 0.0 0.0 12332.351981640746 0.0 0.0 0.0
85.0 540843910.34426 540843911.96478 540843913.5853 0.0 0.0 12332.351981640746 0.0 0.0 0.0
86.0 540843913.5853 540843915.20582 540843916.82634 0.0 0.0 12332.351981640746 0.0 0.0 0.0
87.0 540843916.82634 540843918.44686 540843920.06738 0.0 0.0 12332.351981640746 0.0 0.0 0.0
88.0 540843920.06738 540843921.6879 540843923.30842 0.0 0.0 12332.351981640746 0.0 0.0 0.0
89.0 540843923.30842 540843924.9289399 540843926.5494599 0.0 0.0 12332.351981640746 0.0 0.0 0.0
90.0 540843926.5494599 540843928.1699799 540843929.7904999 0.0 0.0 12332.351981640746 0.0 0.0 0.0
91.0 540843929.7905 540843931.41102 540843933.03154 0.0 0.0 12332.351981640746 0.0 0.0 0.0
92.0 540843933.03154 540843934.65206 540843936.27258 0.0 0.0 12332.351981640746 0.0 0.0 0.0
93.0 540843936.27258 540843937.8931 540843939.51362 0.0 0.0 12332.351981640746 0.0 0.0 0.0
94.0 540843939.51362 540843941.13414 540843942.75466 0.0 0.0 12332.351981640746 0.0 0.0 0.0
95.0 540843942.75466 540843944.37518 540843945.9957 0.0 0.0 12332.351981640746 0.0 0.0 0.0
96.0 540843945.9957 540843947.61622 540843949.23674 0.0 0.0 12332.351981640746 0.0 0.0 0.0
97.0 540843949.23674 540843950.85726 540843952.47778 0.0 0.0 12332.351981640746 0.0 0.0 0.0
98.0 540843952.47778 540843954.0983 540843955.71882 0.0 0.0 12332.351981640746 0.0 0.0 0.0
99.0 540843955.71882 540843957.33934 540843958.95986 0.0 0.0 12332.351981640746 0.0 0.0 0.0
100.0 540843958.95986 540843960.58038 540843962.2009 0.0 0.0 12332.351981640746 0.0 0.0 0.0
101.0 540843962.2009 540843963.82142 540843965.44194 0.0 0.0 12332.351981640746 0.0 0.0 0.0
102.0 540843965.44194 540843967.06246 540843968.68298 0.0 0.0 12332.351981640746 0.0 0.0 0.0
103.0 540843968.68298 540843970.3034999 540843971.9240199 0.0 0.0 12332.351981640746 0.0 0.0 0.0
104.0 540843971.9240199 540843973.5445399 540843975.1650599 0.0 0.0 12332.351981640746 0.0 0.0 0.0
105.0 540843975.16506 540843976.78558 540843978.4061 0.0 0.0 12332.351981640746 0.0 0.0 0.0
106.0 540843978.4061 540843980.02662 540843981.64714 0.0 0.0 12332.351981640746 0.0 0.0 0.0
107.0 540843981.64714 540843983.26766 540843984.88818 0.0 0.0 12332.351981640746 0.0 0.0 0.0
108.0 540843984.88818 540843986.5087 540843988.12922 0.0 0.0 12332.351981640746 0.0 0.0 0.0
